903;269
903;269
903;269
903;269
903;269
903;269
903;269
903;269
903;269
903;269
903;269
903;269
903;269
903;269
895;276
888;283
876;292
862;302
843;314
824;323
804;333
787;342
766;354
756;360
747;367
738;375
729;382
718;392
704;402
683;416
671;425
660;432
650;440
644;445
637;453
632;458
625;466
614;477
607;487
601;493
594;502
587;510
578;518
572;526
563;535
557;541
545;554
535;562
528;569
521;574
514;579
507;584
496;590
487;596
479;599
471;602
463;606
455;608
447;610
438;611
430;612
417;613
406;614
395;614
382;614
370;614
358;614
347;613
341;610
330;603
322;598
316;590
310;585
305;578
298;569
295;561
293;547
293;537
294;528
297;517
304;506
310;498
320;487
327;480
335;472
349;463
355;457
363;452
371;444
379;439
386;432
393;426
406;415
415;409
422;406
431;403
442;400
451;396
462;394
473;394
485;393
493;394
503;397
514;403
525;408
536;414
545;418
553;424
562;429
574;439
582;445
590;454
597;461
602;468
606;476
610;491
611;502
611;514
610;525
609;538
607;547
604;554
599;563
596;569
589;579
586;585
583;590
577;595
572;600
566;603
559;608
553;610
545;613
537;614
531;614
521;614
510;612
499;609
484;602
461;593
447;586
437;582
426;575
415;569
406;563
400;559
393;554
388;549
379;540
376;535
372;529
371;522
371;514
371;505
374;493
378;485
381;477
387;470
393;463
400;456
410;450
416;447
426;441
438;435
448;431
459;429
468;427
478;426
487;426
498;426
507;426
521;430
527;433
535;437
543;441
549;447
556;452
561;457
569;470
572;478
573;487
573;491
573;497
572;502
570;509
566;517
563;524
559;530
556;534
552;535
551;536
550;537
550;537
545;538
541;538
540;538
535;535
529;530
522;525
519;522
514;518
510;515
508;513
507;512
504;511
504;511
504;510
504;510
504;510
503;509
502;508
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;506
502;497
500;482
499;472
498;461
497;451
497;444
497;437
496;430
496;421
496;418
496;413
496;409
496;405
496;400
496;394
496;389
496;382
